mgi_symbol	mgi_description	ensembl_gene_id
Slc15a2; 8430408C16Rik; Pept2	solute carrier family 15 (H+/peptide transporter), member 2	ENSMUSG00000022899
Ildr1	immunoglobulin-like domain containing receptor 1	ENSMUSG00000022900
Cd86; B7-2; B7.2; B70; Cd28l2; Ly-58; Ly58; MB7-2	CD86 antigen	ENSMUSG00000022901
Stfa2; Stf2	stefin A2	ENSMUSG00000022902
Kpna1; importin alpha 5; m-importin-alpha-S1; mSRP1; NPI1; Rch2	karyopherin (importin) alpha 1	ENSMUSG00000022905
Parp9	poly (ADP-ribose) polymerase family, member 9	ENSMUSG00000022906
Arl13b; A530097K21Rik; A930014M17Rik; Arl2l1; C530009C10Rik; hnn	ADP-ribosylation factor-like 13B	ENSMUSG00000022911
Pros1; protein S	protein S (alpha)	ENSMUSG00000022912
Psmg1; Dscr2	proteasome (prosome, macropain) assembly chaperone 1	ENSMUSG00000022913
Brwd1; 5330419I02Rik; D530019K20Rik; G1-403-16; repro5; Wdr9	bromodomain and WD repeat domain containing 1	ENSMUSG00000022914
Krtap15; Pmg-2	keratin associated protein 15	ENSMUSG00000022931
Grik1; A830007B11Rik; D16Ium24; D16Ium24e; GluK5; Glur-5; Glur5; Glurbeta1	glutamate receptor, ionotropic, kainate 1	ENSMUSG00000022935
Fam3b; 9030624C24Rik; D16Jhu19e; ORF9; Pander	family with sequence similarity 3, member B	ENSMUSG00000022938
Pigp; Dcrc; Dscr5	phosphatidylinositol glycan anchor biosynthesis, class P	ENSMUSG00000022940
Ripply3; Dscr6	ripply transcriptional repressor 3	ENSMUSG00000022941
Chaf1b; 2600017H24Rik; CAF-1 subunit B; CAF-I 60 kDa subunit; CAF-IP60; CAF1; CAF1A; CAF1P60; MPHOSPH7	chromatin assembly factor 1, subunit B (p60)	ENSMUSG00000022945
Dop1b; 0610038M01Rik; 2610510B01Rik; Dopey2	DOP1 leucine zipper like protein B	ENSMUSG00000022946
Cbr3; 1110001J05Rik	carbonyl reductase 3	ENSMUSG00000022947
Setd4; ORF21	SET domain containing 4	ENSMUSG00000022948
Clic6; 5730466J16Rik; CLIC1L	chloride intracellular channel 6	ENSMUSG00000022949
Rcan1; 2410048A02Rik; ADAPT78; CSP1; Dscr1; MCIP1	regulator of calcineurin 1	ENSMUSG00000022951
Runx1; AML1; Cbfa2; Pebp2a2; runt domain, alpha subunit 2	runt related transcription factor 1	ENSMUSG00000022952
Atp5o; D12Wsu28e	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	ENSMUSG00000022956
Itsn1; Eh domain, SH3 domain regulator of endocytosis 1; EHSH1; Ese1; Intersectin-L; Sh3p17	intersectin 1 (SH3 domain protein 1A)	ENSMUSG00000022957
Donson; 1110025J21Rik; ORF60	downstream neighbor of SON	ENSMUSG00000022960
Son; 2900011L12Rik	Son DNA binding protein	ENSMUSG00000022961
Gart; Gaps; Prgs	phosphoribosylglycinamide formyltransferase	ENSMUSG00000022962
Tmem50b; B230114J08Rik	transmembrane protein 50B	ENSMUSG00000022964
Ifngr2; Ifgr2; Ifgt	interferon gamma receptor 2	ENSMUSG00000022965
Ifnar1; Ifar; IFN-alpha/betaR; Ifrc	interferon (alpha and beta) receptor 1	ENSMUSG00000022967
Il10rb; 6620401D04Rik; CRF2-4; Crfb4; D16H21S58; D21S58h; Il10r2	interleukin 10 receptor, beta	ENSMUSG00000022969
Ifnar2; Ifnar-2	interferon (alpha and beta) receptor 2	ENSMUSG00000022971
Cfap298; 1110004E09Rik	cilia and flagella associate protien 298	ENSMUSG00000022972
Synj1; A930006D20Rik	synaptojanin 1	ENSMUSG00000022973
Paxbp1; 1810007M14Rik; Gcfc1; Pax3/7bp	PAX3 and PAX7 binding protein 1	ENSMUSG00000022974
Mis18a; 2610039C10Rik; 2810018N07Rik	MIS18 kinetochore protein A	ENSMUSG00000022978
Sod1; B430204E11Rik; Cu(2+)-Zn2+ superoxide dismutase; Cu/Zn-SOD; CuZnSOD; Ipo-1; Ipo1; Sod-1; SODC	superoxide dismutase 1, soluble	ENSMUSG00000022982
Scaf4; Sfrs15; Sra4; Srsf15	SR-related CTD-associated factor 4	ENSMUSG00000022983
Krt75; 4732468K03Rik; K6hf; Krt2-6hf; Krtcap1	keratin 75	ENSMUSG00000022986
Zfp641; 9930016F01Rik	zinc finger protein 641	ENSMUSG00000022987
Lalba; lactalbumin alpha	lactalbumin, alpha	ENSMUSG00000022991
Kansl2; 2310037I24Rik	KAT8 regulatory NSL complex subunit 2	ENSMUSG00000022992
4930415O20Rik	RIKEN cDNA 4930415O20 gene	ENSMUSG00000022993
Adcy6; AC6	adenylate cyclase 6	ENSMUSG00000022994
Enah; Mena; Ndpp1	ENAH actin regulator	ENSMUSG00000022995
Wnt10b; Wnt12	wingless-type MMTV integration site family, member 10B	ENSMUSG00000022996
Wnt1; Int-1; Wnt-1	wingless-type MMTV integration site family, member 1	ENSMUSG00000022997
Lmbr1l; 1110013E13Rik; D15Ertd735e	limb region 1 like	ENSMUSG00000022999
Dhh	desert hedgehog	ENSMUSG00000023000
Tuba1b; Tuba2	tubulin, alpha 1B	ENSMUSG00000023004
Prpf40b; 2610317D23Rik	pre-mRNA processing factor 40B	ENSMUSG00000023007
Fmnl3; 2700073B04Rik; Wbp3	formin-like 3	ENSMUSG00000023008
Nckap5l; C230021P08Rik	NCK-associated protein 5-like	ENSMUSG00000023009
Tmbim6; Bax inhibitor 1; Tegt	transmembrane BAX inhibitor motif containing 6	ENSMUSG00000023010
Faim2; 2900002L20Rik; Lfg; lifeguard; NMP25; Tmbim2	Fas apoptotic inhibitory molecule 2	ENSMUSG00000023011
Aqp2	aquaporin 2	ENSMUSG00000023013
Racgap1; Band25; gtl11; GTPase; MgcRacGAP	Rac GTPase-activating protein 1	ENSMUSG00000023015
Asic1; Accn2; ASIC; ASIC1 beta; ASIC1a; ASICalpha; B530003N02Rik; BNaC2	acid-sensing (proton-gated) ion channel 1	ENSMUSG00000023017
Smarcd1; Baf60a; D15Kz1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	ENSMUSG00000023018
Gpd1; Gdc-1; Gdc1	glycerol-3-phosphate dehydrogenase 1 (soluble)	ENSMUSG00000023019
Cox14; 2310016M24Rik	cytochrome c oxidase assembly protein 14	ENSMUSG00000023020
Cers5; 2310081H14Rik; CerS5; Lass5; Trh4	ceramide synthase 5	ENSMUSG00000023021
Lima1; 1110021C24Rik; 3526402A12Rik; epithelial protein lost in neoplasm; EPLIN	LIM domain and actin binding 1	ENSMUSG00000023022
Larp4; D330037H05Rik	La ribonucleoprotein domain family, member 4	ENSMUSG00000023025
Dip2b	disco interacting protein 2 homolog B	ENSMUSG00000023026
Atf1	activating transcription factor 1	ENSMUSG00000023027
Slc11a2; DCT1; DMT1; microcytic anemia, viable anaemia; Nramp2; van	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	ENSMUSG00000023030
Cela1; 1810009A17Rik; 1810062B19Rik; Ela-1; Ela1; PC-TsF	chymotrypsin-like elastase family, member 1	ENSMUSG00000023031
Slc4a8; KNBC-3; NDCBE; sodium bicarbonate cotransporter isoform 3 kNBC-3	solute carrier family 4 (anion exchanger), member 8	ENSMUSG00000023032
Scn8a; ataxia 3; C630029C19Rik; med; mnd-2; mnd2; motor end-plate disease; NaCh6; Nav1.6; nmf2; nmf335; nmf58; nur14; seal	sodium channel, voltage-gated, type VIII, alpha	ENSMUSG00000023033
Nr4a1; Gfrp; GFRP1; Hbr-1; Hbr1; Hmr; N10; NGFI-B; NP10; Nur77; TIS1; TR3	nuclear receptor subfamily 4, group A, member 1	ENSMUSG00000023034
Pcdhgc4	protocadherin gamma subfamily C, 4	ENSMUSG00000023036
Krt7; Cytokeratin 7; D15Wsu77e; K7; Krt2-7	keratin 7	ENSMUSG00000023039
Krt6b; Krt2-6b; mK6[b]	keratin 6B	ENSMUSG00000023041
Krt18; CK18; Endo B; K18; Krt1-18	keratin 18	ENSMUSG00000023043
Csad	cysteine sulfinic acid decarboxylase	ENSMUSG00000023044
Soat2; ACAT2; D15Wsu97e	sterol O-acyltransferase 2	ENSMUSG00000023045
Igfbp6; IGFBP-6	insulin-like growth factor binding protein 6	ENSMUSG00000023046
Amhr2; MIS TypeII receptor; MISIIR	anti-Mullerian hormone type 2 receptor	ENSMUSG00000023047
Prr13; 1110020C13Rik; 2010324E22Rik	proline rich 13	ENSMUSG00000023048
Map3k12; DLK; MUK; Zpk	mitogen-activated protein kinase kinase kinase 12	ENSMUSG00000023050
Tarbp2; Prbp; TRBP	TARBP2, RISC loading complex RNA binding subunit	ENSMUSG00000023051
Npff	neuropeptide FF-amide peptide precursor	ENSMUSG00000023052
Calcoco1; 1810009B06Rik; CoCoA; Gcap11	calcium binding and coiled coil domain 1	ENSMUSG00000023055
Fabp2; Fabpi; I-FABP	fatty acid binding protein 2, intestinal	ENSMUSG00000023057
Sncg; C79089; persyn	synuclein, gamma	ENSMUSG00000023064
Rttn; 4921538A15Rik; C530033I08Rik	rotatin	ENSMUSG00000023066
Cdkn1a; CAP20; CDKI; Cdkn1; CIP1; mda6; P21; p21<WAF1/CIP1>; p21Cip1; p21WAF; SDI1; Waf1	cyclin-dependent kinase inhibitor 1A (P21)	ENSMUSG00000023067
Nus1; 1600027K07Rik; D10Ertd438e; NgBR	NUS1 dehydrodolichyl diphosphate synthase subunit	ENSMUSG00000023068
Rgn; SMP30	regucalcin	ENSMUSG00000023070
Cep89; 2610507L03Rik; Ccdc123	centrosomal protein 89	ENSMUSG00000023072
Slc10a2; 9130221J18Rik; ASBT	solute carrier family 10, member 2	ENSMUSG00000023073
Mospd1; 1810018L05Rik	motile sperm domain containing 1	ENSMUSG00000023074
Akirin1; 6330407G11Rik	akirin 1	ENSMUSG00000023075
Cxcl13; 4631412M08Rik; ANGIE2; BCA-1; BLC; Scyb13	chemokine (C-X-C motif) ligand 13	ENSMUSG00000023078
Gtf2ird1; Alb-c-myc line 166.8; Alb/c-myc line 166.8; BEN; binding factor for early enhancer; c-myc line 166.8; Cream1; ESTM9; GTF3; MusTRD1; Tg(Alb1-Myc)166.8Sst; WBSCR11	general transcription factor II I repeat domain-containing 1	ENSMUSG00000023079
H2-M10.2; 4.7H	histocompatibility 2, M region locus 10.2	ENSMUSG00000023083
Lrrc71; 4933430H15Rik	leucine rich repeat containing 71	ENSMUSG00000023084
Noct; Ccr4; Ccrn4l	nocturnin	ENSMUSG00000023087
Abcc1; Abcc1a; Abcc1b; Mdrap; MRP; Mrp1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	ENSMUSG00000023088
Ndufa5; 2900002J19Rik	NADH:ubiquinone oxidoreductase subunit A5	ENSMUSG00000023089
Fhl1; KyoT; KyoT1; KyoT2	four and a half LIM domains 1	ENSMUSG00000023092
Pate12; Gm7257	prostate and testis expressed 12	ENSMUSG00000023093
Msrb2; 2310050L06Rik; Msrb	methionine sulfoxide reductase B2	ENSMUSG00000023094
Rfc2; 2610008M13Rik; 40kDa; Recc2	replication factor C (activator 1) 2	ENSMUSG00000023104
Denr; 1500003K04Rik	density-regulated protein	ENSMUSG00000023106
Prmt5; Jak-binding protein 1; Jbp1; Skb1	protein arginine N-methyltransferase 5	ENSMUSG00000023110
Sympk; 1500016F02Rik; 4632415H16Rik	symplekin	ENSMUSG00000023118
Ldc1; Gm853; LOC332942	leucine decarboxylase 1	ENSMUSG00000023120
Sult1c2; 1810008N17Rik; ST1C1	sulfotransferase family, cytosolic, 1C, member 2	ENSMUSG00000023122
Gzma; BLT esterase; Ctla-3; Ctla3; H factor; Hanukah factor; Hf; SE1; serine esterase 1; TSP-1; TSP1	granzyme A	ENSMUSG00000023132
Reg2; pancreatic thread protein	regenerating islet-derived 2	ENSMUSG00000023140
Nagpa; alpha-GlcNAcase; UCE	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	ENSMUSG00000023143
Get1; 5530402J05Rik; C030018G21Rik; Chd5; Wrb	guided entry of tail-anchored proteins factor 1	ENSMUSG00000023147
Ivns1abp; 1190004M08Rik; 1700126I16Rik; HSPC068; ND1; Nd1-L; Nd1-S; NS-1; NS1-BP	influenza virus NS1A binding protein	ENSMUSG00000023150
Lrrc69; 1700034K16Rik	leucine rich repeat containing 69	ENSMUSG00000023151
Tmem52; 2310043I08Rik	transmembrane protein 52	ENSMUSG00000023153
Rpp14; Htd2; 2610511E03Rik	ribonuclease P 14 subunit	ENSMUSG00000023156
Psg29; cea17	pregnancy-specific glycoprotein 29	ENSMUSG00000023159
Ssxb2	synovial sarcoma, X member B2	ENSMUSG00000023165
Slc38a1; NAT2	solute carrier family 38, member 1	ENSMUSG00000023169
Gps2	G protein pathway suppressor 2	ENSMUSG00000023170
Bsg; 5A11/Basigin; CD147; EMMPRIN; gp 42; HT-7; neurothelin	basigin	ENSMUSG00000023175
Cpn2; 1300018K11Rik	carboxypeptidase N, polypeptide 2	ENSMUSG00000023176
Ceacam14; 1600021E03Rik; 1600025E09Rik	carcinoembryonic antigen-related cell adhesion molecule 14	ENSMUSG00000023185
Vwa5a; 5830475I06Rik; BCSC-1; Loh11cr2a	von Willebrand factor A domain containing 5A	ENSMUSG00000023186
P3h3; Grcb; Leprel2	prolyl 3-hydroxylase 3	ENSMUSG00000023191
Grm2; 4930441L02Rik; Gprc1b; mGluR2	glutamate receptor, metabotropic 2	ENSMUSG00000023192
Il15ra	interleukin 15 receptor, alpha chain	ENSMUSG00000023206
Lcn9	lipocalin 9	ENSMUSG00000023210
Epb42; Epb4.2	erythrocyte membrane protein band 4.2	ENSMUSG00000023216
Serping1; C1 inhibitor; C1INH; C1nh	serine (or cysteine) peptidase inhibitor, clade G, member 1	ENSMUSG00000023224
Serinc2; 2310004K20Rik; FKSG84; TDE2; Tde2l	serine incorporator 2	ENSMUSG00000023232
Ccl25; CKb15; Scya25; TECK	chemokine (C-C motif) ligand 25	ENSMUSG00000023235
Scg5; 7B2; Sgne-1; Sgne1	secretogranin V	ENSMUSG00000023236
Kcnk5; TASK-2	potassium channel, subfamily K, member 5	ENSMUSG00000023243
Guca2a; Guca2	guanylate cyclase activator 2a (guanylin)	ENSMUSG00000023247
Parp3; A930002C11Rik; Adprt3; Adprtl3; PARP-3	poly (ADP-ribose) polymerase family, member 3	ENSMUSG00000023249
Cypt1; 4931420D14Rik; Ckt1r3; CYPT1; Cypt5; Cypt6; TISP55	cysteine-rich perinuclear theca 1	ENSMUSG00000023257
Slc26a6; B930010B04Rik; CFEX; Pat1	solute carrier family 26, member 6	ENSMUSG00000023259
Acy1; 1110014J22Rik; Acy-1	aminoacylase 1	ENSMUSG00000023262
9530002B09Rik; Aump; Vpp1	RIKEN cDNA 9530002B09 gene	ENSMUSG00000023263
Frs3; 4930417B13Rik; Frs2beta; SNT2	fibroblast growth factor receptor substrate 3	ENSMUSG00000023266
Gabrr2	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2	ENSMUSG00000023267
Creld2; 5730592L21Rik	cysteine-rich with EGF-like domains 2	ENSMUSG00000023272
Cd4; L3T4; Ly-4	CD4 antigen	ENSMUSG00000023274
Twf2; A6-related; Ptk9l; Twinfilin-2	twinfilin actin binding protein 2	ENSMUSG00000023277
Bmp15; Bmp-15; GDF-9B	bone morphogenetic protein 15	ENSMUSG00000023279
Zfp605; A830023I12Rik	zinc finger protein 605	ENSMUSG00000023284
Ube2j2; 1200007B18Rik; 2400008G19Rik; 5730472G04Rik; Ubc6	ubiquitin-conjugating enzyme E2J 2	ENSMUSG00000023286
Sva	seminal vesicle antigen	ENSMUSG00000023289
Marchf5; 1810015H18Rik; 2310008I22Rik; 2700055A20Rik; 5730499H23Rik; E130202O05Rik; MARCH-V; March5; MITOL; Rnf153	membrane associated ring-CH-type finger 5	ENSMUSG00000023307
Ache	acetylcholinesterase	ENSMUSG00000023328
Dtwd1; 1810033A06Rik	DTW domain containing 1	ENSMUSG00000023330
Gcm1; Gcm 1; Gcm a; Gcm1-rs1; GCMa; glial cell deficient; glide	glial cells missing homolog 1	ENSMUSG00000023333
Wfdc1; 2310058A03Rik; ps20	WAP four-disulfide core domain 1	ENSMUSG00000023336
Mx2; Mx-2	MX dynamin-like GTPase 2	ENSMUSG00000023341
Poc1a; 2510040D07Rik; cha; Wdr51a	POC1 centriolar protein A	ENSMUSG00000023345
Trip6	thyroid hormone receptor interactor 6	ENSMUSG00000023348
Clec4n; Clecsf10; dectin-2; Nkcl	C-type lectin domain family 4, member n	ENSMUSG00000023349
Phf8-ps; ; 4921501E09Rik	PHD finger protein 8, pseudogene	ENSMUSG00000023350
Agap3; Centg3; Crag; MRIP-1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	ENSMUSG00000023353
Tmem176a; 0610011I04Rik	transmembrane protein 176A	ENSMUSG00000023367
Kcnk16; 4731413G05Rik; TALK-1; TALK1	potassium channel, subfamily K, member 16	ENSMUSG00000023387
Dlx2; DII A; Dlx-2; Tes-1	distal-less homeobox 2	ENSMUSG00000023391
Slc17a9; 1700019H03Rik; Vnut	solute carrier family 17, member 9	ENSMUSG00000023393
Stk31; C330007K24Rik	serine threonine kinase 31	ENSMUSG00000023403
Nfatc4; 3110041H08Rik	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4	ENSMUSG00000023411
Cela3b; 0910001F22Rik; 2310074F01Rik; Ela3; Ela3b	chymotrypsin-like elastase family, member 3B	ENSMUSG00000023433
Gnb3	guanine nucleotide binding protein (G protein), beta 3	ENSMUSG00000023439
Esx1; Spx1	extraembryonic, spermatogenesis, homeobox 1	ENSMUSG00000023443
Pisd; 9030221M09Rik	phosphatidylserine decarboxylase	ENSMUSG00000023452
Tpi1; Tpi-1	triosephosphate isomerase 1	ENSMUSG00000023456
Rab12; 2900054P15Rik	RAB12, member RAS oncogene family	ENSMUSG00000023460
Tulp2	tubby-like protein 2	ENSMUSG00000023467
Celsr3; Adgrc3; flamingo; Fmi1	cadherin, EGF LAG seven-pass G-type receptor 3	ENSMUSG00000023473
Prph; Prph1	peripherin	ENSMUSG00000023484
Pcbp4; 1200003L19Rik; AlphaCP-4	poly(rC) binding protein 4	ENSMUSG00000023495
Cdca3; 2410005A12Rik; Grcc8; TOME-1	cell division cycle associated 3	ENSMUSG00000023505
C1qtnf12; 1110035L05Rik; alipolin; C1qdc2; Fam132a	C1q and tumor necrosis factor related 12	ENSMUSG00000023571
Ccndbp1; DIP1; GCIP; Maid; SSEC-8; stage specific embryonic cDNA-8	cyclin D-type binding-protein 1	ENSMUSG00000023572
Ogfod2; 1300006G11Rik; 5730405M13Rik	2-oxoglutarate and iron-dependent oxygenase domain containing 2	ENSMUSG00000023707
Mrps23; 2310047I09Rik; D11Bwg1153e; Rpms23	mitochondrial ribosomal protein S23	ENSMUSG00000023723
1700082M22Rik	RIKEN cDNA 1700082M22 gene	ENSMUSG00000023737
Rhebl1; 1810036J22Rik; Rheb2	Ras homolog enriched in brain like 1	ENSMUSG00000023755
Sfi1; 2310047I15Rik	Sfi1 homolog, spindle assembly associated (yeast)	ENSMUSG00000023764
Hes7; bHLHb37	hes family bHLH transcription factor 7	ENSMUSG00000023781
Pigx; 2010319C14Rik	phosphatidylinositol glycan anchor biosynthesis, class X	ENSMUSG00000023791
Pisd-ps2	phosphatidylserine decarboxylase, pseudogene 2	ENSMUSG00000023795
Tiam2; 3000002F19Rik; STEF	T cell lymphoma invasion and metastasis 2	ENSMUSG00000023800
Nox3; het; nmf250	NADPH oxidase 3	ENSMUSG00000023802
Synj2; SJ2	synaptojanin 2	ENSMUSG00000023805
Rsph3b; Rshl2b	radial spoke 3B homolog (Chlamydomonas)	ENSMUSG00000023806
Rps6ka2; 90kDa; D17Wsu134e; p90rsk; pp90rsk; Rps6ka-rs1; Rsk3	ribosomal protein S6 kinase, polypeptide 2	ENSMUSG00000023809
Prkn; Park2; Parkin; PRKN	parkin RBR E3 ubiquitin protein ligase	ENSMUSG00000023826
Agpat4; 1500003P24Rik	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	ENSMUSG00000023827
Slc22a3; EMT; Oct3; Orct3	solute carrier family 22 (organic cation transporter), member 3	ENSMUSG00000023828
Slc22a1; Lx1; Oct1; Orct; Orct1	solute carrier family 22 (organic cation transporter), member 1	ENSMUSG00000023829
Igf2r; CD222; CI-MPR; IGF-II/CI-MPR; M6P/IGF2R; mannose-6-phosphate receptor, cation independent; Mpr300	insulin-like growth factor 2 receptor	ENSMUSG00000023830
Acat2; Tcp-1x; Tcp1-rs1	acetyl-Coenzyme A acetyltransferase 2	ENSMUSG00000023832
Lnpep; 2010309L07Rik; 4732490P18Rik; gp160; IRAP; vp165	leucyl/cystinyl aminopeptidase	ENSMUSG00000023845
Chd1; 4930525N21Rik	chromodomain helicase DNA binding protein 1	ENSMUSG00000023852
Mpc1; 0610006G08Rik; 3830411I18Rik; Brp44l	mitochondrial pyruvate carrier 1	ENSMUSG00000023861
Pde10a	phosphodiesterase 10A	ENSMUSG00000023868
1700010I14Rik	RIKEN cDNA 1700010I14 gene	ENSMUSG00000023873
Zfp54; clone 18; KRAB10; Zfp-54; Zfp76	zinc finger protein 54	ENSMUSG00000023882
Phf10; 1810055P05Rik; Baf45a	PHD finger protein 10	ENSMUSG00000023883
Thbs2; Thbs-2; Thrombospondin-2; TSP2	thrombospondin 2	ENSMUSG00000023885
Smoc2; 1700056C05Rik; 5430426J21Rik; Smoc2l	SPARC related modular calcium binding 2	ENSMUSG00000023886
Zfp51; zfec12; Zfp-51	zinc finger protein 51	ENSMUSG00000023892
Zscan10; Zfp206	zinc finger and SCAN domain containing 10	ENSMUSG00000023902
Mmp25; F730048C11Rik; Leukolysin; MT6-MMP	matrix metallopeptidase 25	ENSMUSG00000023903
Hcfc1r1	host cell factor C1 regulator 1 (XPO1-dependent)	ENSMUSG00000023904
Tnfrsf12a; Fn14; TWEAK-R; TweakR	tumor necrosis factor receptor superfamily, member 12a	ENSMUSG00000023905
Cldn6	claudin 6	ENSMUSG00000023906
Pkmyt1; Myt1	protein kinase, membrane associated tyrosine/threonine 1	ENSMUSG00000023908
Paqr4; 1500004C10Rik	progestin and adipoQ receptor family member IV	ENSMUSG00000023909
Flywch2; 2810417J12Rik; 3010014L17Rik	FLYWCH family member 2	ENSMUSG00000023911
Slc25a27; 3632410G24Rik; 9430092A03Rik; D530043E16Rik; Ucp4	solute carrier family 25, member 27	ENSMUSG00000023912
Pla2g7; PAF acetylhydrolase; PAF-AH	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	ENSMUSG00000023913
Mep1a; Mep-1; Mep-1a; Mep1; meprin A alpha-subunit; meprin alpha	meprin 1 alpha	ENSMUSG00000023914
Tnfrsf21; Death receptor 6; DR6; TR7	tumor necrosis factor receptor superfamily, member 21	ENSMUSG00000023915
Adgrf4; 4632435A09Rik; Gpr115	adhesion G protein-coupled receptor F4	ENSMUSG00000023918
Cenpq; 2610528M18Rik	centromere protein Q	ENSMUSG00000023919
Mmut; D230010K02Rik; Mut	methylmalonyl-Coenzyme A mutase	ENSMUSG00000023921
Tbc1d5; 1600014N05Rik	TBC1 domain family, member 5	ENSMUSG00000023923
Rhag; CD241; Rh50; Rh50A	Rhesus blood group-associated A glycoprotein	ENSMUSG00000023926
Satb1; 2610306G12Rik	special AT-rich sequence binding protein 1	ENSMUSG00000023927
Crisp2; CRISP-2; GAPDL5; Tpx-1; Tpx1	cysteine-rich secretory protein 2	ENSMUSG00000023930
Efhb; 4921525D22Rik	EF hand domain family, member B	ENSMUSG00000023931
Cdc5l; 1200002I02Rik; PCDC5RP	cell division cycle 5-like (S. pombe)	ENSMUSG00000023932
Spats1; 1700011H05Rik; 4933400B06Rik; Srsp1	spermatogenesis associated, serine-rich 1	ENSMUSG00000023935
Aars2; Aarsl	alanyl-tRNA synthetase 2, mitochondrial	ENSMUSG00000023938
Mrpl14; 1110006I11Rik; MRP-L32; Rpml32	mitochondrial ribosomal protein L14	ENSMUSG00000023939
Sgo1; 3300001M08Rik; Sgol1	shugoshin 1	ENSMUSG00000023940
Slc29a1; 1200014D21Rik; ENT1; NBMPR-sensitive equilibrative nucleoside transporter	solute carrier family 29 (nucleoside transporters), member 1	ENSMUSG00000023942
Sult1c1; (PST)G; mOLFST; P-SULT; Stp2; Sult1a2	sulfotransferase family, cytosolic, 1C, member 1	ENSMUSG00000023943
Hsp90ab1; C81438; Hsp84; Hsp84-1; Hsp90; Hspcb	heat shock protein 90 alpha (cytosolic), class B member 1	ENSMUSG00000023944
Slc5a7; CHT1	solute carrier family 5 (choline transporter), member 7	ENSMUSG00000023945
Nfkbie	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon	ENSMUSG00000023947
Tcte1; D17Sil1; Tcte-1	t-complex-associated testis expressed 1	ENSMUSG00000023949
Vegfa; Vegf; VEGF-A; VEGF120; VEGF164; VEGF188; VPF	vascular endothelial growth factor A	ENSMUSG00000023951
Gtpbp2; nmf205	GTP binding protein 2	ENSMUSG00000023952
Polh; RAD30A	polymerase (DNA directed), eta (RAD 30 related)	ENSMUSG00000023953
Clic5; 5730531E12Rik; nmf318	chloride intracellular channel 5	ENSMUSG00000023959
Enpp5; D17Abb1e	ectonucleotide pyrophosphatase/phosphodiesterase 5	ENSMUSG00000023960
Enpp4; 4933413N07Rik; LOC224794	ectonucleotide pyrophosphatase/phosphodiesterase 4	ENSMUSG00000023961
Cyp39a1; oxysterol 7-alpha-hydroxylase	cytochrome P450, family 39, subfamily a, polypeptide 1	ENSMUSG00000023963
Calcr; Clr	calcitonin receptor	ENSMUSG00000023964
Fbxl17; 6330576B01Rik; C130023C01Rik; Fbx13; Fbxo13	F-box and leucine-rich repeat protein 17	ENSMUSG00000023965
Rsph9; 1700027N10Rik	radial spoke head 9 homolog (Chlamydomonas)	ENSMUSG00000023966
Mrps18a; 1110004O20Rik	mitochondrial ribosomal protein S18A	ENSMUSG00000023967
Crip3; TLP; TLP-A	cysteine-rich protein 3	ENSMUSG00000023968
Rrp36; BC011248	ribosomal RNA processing 36 homolog (S. cerevisiae)	ENSMUSG00000023971
Ptk7; 8430404F20Rik; chz; mPTK7/CCK4	PTK7 protein tyrosine kinase 7	ENSMUSG00000023972
Cnpy3; 1600025D17Rik; 2410050O22Rik; CAG4A; ERDA5; Tnrc5	canopy FGF signaling regulator 3	ENSMUSG00000023973
Ubr2; 9930021A08Rik; E130209G04Rik; ENSMUSG00000043296	ubiquitin protein ligase E3 component n-recognin 2	ENSMUSG00000023977
Prph2; Nmf193; Rd2; rds; Tspan22	peripherin 2	ENSMUSG00000023978
Guca1b; GCAP2; GCAP2 (retina)	guanylate cyclase activator 1B	ENSMUSG00000023979
Taf8; Tbn	TATA-box binding protein associated factor 8	ENSMUSG00000023980
Guca1a; Guca1; mGCAP1	guanylate cyclase activator 1a (retina)	ENSMUSG00000023982
Gm20517	predicted gene 20517	ENSMUSG00000023984
Pgc; 2210410L06Rik; Upg-1; Upg1	progastricsin (pepsinogen C)	ENSMUSG00000023987
Bysl; Enp1	bystin-like	ENSMUSG00000023988
Tfeb; bHLHe35; Tcfeb; TFEB	transcription factor EB	ENSMUSG00000023990
Foxp4; 1200010K03Rik; 2310007G05Rik	forkhead box P4	ENSMUSG00000023991
Trem2; Trem2a; Trem2b; Trem2c	triggering receptor expressed on myeloid cells 2	ENSMUSG00000023992
Treml1; 5430401J17Rik; TLT-1	triggering receptor expressed on myeloid cells-like 1	ENSMUSG00000023993
Nfya; Cbf-b; Sez10	nuclear transcription factor-Y alpha	ENSMUSG00000023994
Tspo2; 2510027D20Rik; Bzrpl1	translocator protein 2	ENSMUSG00000023995
